Athlete,overall_rank,overall_score,X14_1_rank,X14_1_score,X14_2_rank,X14_2_score,X14_3_rank,X14_3_score,X14_4_rank,X14_4_score,X14_5_rank,X14_5_score,region,gender
Jamie Lee,12,131,8,399,46,255,19,154,19,225,39,10:29,northerncalifornia,m
Spenser Scott,13,133,36,388,2,341,83,146,5,244,7,09:40,northerncalifornia,m
Ben Wise,14,135,49,378,25,264,17,154,28,217,16,09:58,northerncalifornia,m
Gabe Subry,15,137,18,394,21,267,62,148,8,238,28,10:12,northerncalifornia,m
Jonathan Jorgensen,16,148,43,383,16,270,9,157,37,212,43,10:31,northerncalifornia,m
Daniel Felling,17,152,12,397,34,261,54,148,4,249,48,10:35,northerncalifornia,m
Will Zerlang,18,171,15,395,4,336,70,147,74,199,8,09:42,northerncalifornia,m
Nick Zambruno,19,176,25,392,44,256,11,156,11,234,85,11:06,northerncalifornia,m
Tyler Wilcox,20,179,91,357,10,278,39,150,21,224,18,09:59,northerncalifornia,m
Colin Cunningham,21,205,15,395,39,259,81,146,38,212,32,10:21,northerncalifornia,m
Anthony Malta,22,216,138,352,7,320,25,153,16,227,30,10:20,northerncalifornia,m
Dusty Sulon,23,218,20,393,58,249,31,152,27,217,82,11:02,northerncalifornia,m
Devon Simmons,24,241,15,395,8,309,137,144,59,202,22,10:06,northerncalifornia,m
Nick Pappas,24,241,32,390,9,304,140,144,17,226,43,10:31,northerncalifornia,m
Ben Alderman,26,243,18,394,59,247,94,146,30,216,42,10:30,northerncalifornia,m
Corey Schmidt,27,247,20,393,146,197,16,155,26,218,39,10:29,northerncalifornia,m
Johnny Medina III,28,252,62,362,53,251,78,146,50,206,9,09:44,northerncalifornia,m
Denny Wilson,29,257,126,353,17,269,69,147,32,215,13,09:52,northerncalifornia,m
CHRIS EAGEN,30,262,64,361,28,262,43,150,45,207,82,11:02,northerncalifornia,m
Buddy Hitchcock,31,298,62,362,14,272,178,143,18,225,26,10:11,northerncalifornia,m
Mauricio Leal,32,301,39,385,36,260,122,145,25,218,79,11:00,northerncalifornia,m
Chris Michelmore,33,322,4,401,99,205,73,146,13,231,133,11:36,northerncalifornia,m
Travis McRoberts,34,337,7,400,90,207,24,153,173,194,43,10:31,northerncalifornia,m
PJ Rubel,35,338,91,357,69,242,29,152,64,200,85,11:06,northerncalifornia,m
Alex Oberman,36,342,138,352,28,262,101,145,57,203,18,09:59,northerncalifornia,m
Corey Matson,37,351,43,383,75,240,22,153,182,194,29,10:14,northerncalifornia,m
Ruben Torres,37,351,68,360,46,255,67,147,40,211,130,11:33,northerncalifornia,m
Mike Kluegel,39,356,9,398,28,262,142,144,128,196,49,10:36,northerncalifornia,m
Cary Hair,40,365,54,368,28,262,46,149,106,197,131,11:34,northerncalifornia,m
Trent Simmons,41,376,119,354,117,202,14,155,62,200,64,10:51,northerncalifornia,m
Gadiel Escobedo,42,378,68,360,111,203,85,146,68,200,46,10:32,northerncalifornia,m
David Ivanov,43,382,50,375,106,204,138,144,31,216,57,10:47,northerncalifornia,m
Luis Roque,44,391,28,391,233,189,12,155,45,207,73,10:57,northerncalifornia,m
Ash Havens,45,402,28,391,146,197,107,145,85,198,36,10:26,northerncalifornia,m
Mike Morales,46,407,102,356,146,197,35,151,70,199,54,10:45,northerncalifornia,m
Chris Beery,47,420,53,373,99,205,77,146,130,196,61,10:49,northerncalifornia,m
Adam Kubo,48,425,56,367,146,197,56,148,62,200,105,11:20,northerncalifornia,m
Robert Gray,49,432,32,390,189,193,61,148,104,197,46,10:32,northerncalifornia,m
David Richman,50,445,46,381,81,238,225,141,20,224,73,10:57,northerncalifornia,m
Kenny Nugent,51,446,37,387,106,204,57,148,77,199,169,11:54,northerncalifornia,m
Jake Neubauer,52,476,150,351,41,257,105,145,150,195,30,10:20,northerncalifornia,m
Mark Pfeifer,53,479,28,391,55,250,316,139,42,210,38,10:28,northerncalifornia,m
Nick Lucchesi,54,484,57,366,181,194,21,154,39,212,186,12:04,northerncalifornia,m
Atsushi Yoshinaga,55,493,227,345,81,238,49,149,69,200,67,10:55,northerncalifornia,m
Brian Dean,56,495,79,359,111,203,72,147,76,199,157,11:49,northerncalifornia,m
Dylan MacRae,57,514,126,353,63,244,194,142,51,206,80,11:01,northerncalifornia,m
Brian Huberty,58,525,119,354,28,262,182,143,80,199,116,11:27,northerncalifornia,m
James Kusama,59,527,57,366,203,192,64,147,126,196,77,10:58,northerncalifornia,m
Rich Korth,60,534,168,350,44,256,162,143,103,197,57,10:47,northerncalifornia,m
Adam Neiffer,1,39,10,396,15,265,9,158,2,245,3,09:05,northwest,m
Ben Stoneberg,2,41,20,390,1,347,7,159,5,234,8,09:29,northwest,m
Ryan Swobody,3,47,20,390,7,315,4,167,4,234,12,09:45,northwest,m
Cole Sager,4,77,4,411,2,326,64,148,1,260,6,09:21,northwest,m
Noah Pester,5,81,46,374,9,273,3,169,9,228,14,09:46,northwest,m
Bryan Weed,6,91,31,388,41,252,11,156,3,243,5,09:19,northwest,m
Nick Martindale,7,96,8,397,13,271,46,150,13,224,16,09:50,northwest,m
Ryan Smith,8,135,2,417,25,259,69,148,6,234,33,10:39,northwest,m
Austin Stack,9,180,8,397,18,263,96,146,38,206,20,10:02,northwest,m
anthony weidner,10,183,43,378,9,273,65,148,56,200,10,09:39,northwest,m
Travis Mead,11,191,1,423,83,205,5,165,85,198,17,09:52,northwest,m
Samuel Kwant,12,209,129,353,8,278,29,152,21,215,22,10:09,northwest,m
Dan Johnson,13,218,55,367,49,244,8,159,64,199,42,10:54,northwest,m
Ryan Calkins,14,221,64,360,46,245,15,155,18,217,78,11:22,northwest,m
Tate Vladic,15,243,60,362,18,263,128,144,12,225,25,10:22,northwest,m
David Schroeder,16,248,29,389,70,228,1,175,63,199,85,11:32,northwest,m
Drew Barquist,17,253,77,359,22,261,34,151,105,197,15,09:48,northwest,m
Dan Staton,18,257,119,354,31,256,59,149,8,228,40,10:47,northwest,m
Pete Barner,19,278,33,387,46,245,102,146,86,198,11,09:43,northwest,m
Apollo Lewis,20,282,20,390,49,244,154,143,24,215,35,10:41,northwest,m
Kevin Longmeier,21,314,250,345,11,272,12,156,15,222,26,10:24,northwest,m
Connor Nelson,22,317,64,360,29,257,142,144,17,218,65,11:15,northwest,m
Allan Dunlap,23,320,84,358,15,265,135,144,68,199,18,09:54,northwest,m
sam jay,24,324,77,359,31,256,16,155,22,215,178,12:19,northwest,m
Maxwell Shoemaker,25,334,15,391,161,195,43,150,62,200,53,11:04,northwest,m
Andy Rosenbaum,26,344,29,389,36,255,164,143,57,200,58,11:09,northwest,m
Nigel Noriega,27,352,129,353,22,261,88,147,52,201,61,11:12,northwest,m
constantino Montes,28,366,10,396,189,192,40,151,33,207,94,11:37,northwest,m
Gary Stallings Jr,29,376,101,356,72,207,51,150,66,199,86,11:33,northwest,m
Kaylor Hasbargen,30,380,45,375,4,321,303,139,19,217,9,09:34,northwest,m
Grant Piros,31,387,36,383,124,199,21,153,92,198,114,11:48,northwest,m
Eric Showman,31,387,33,387,67,235,123,145,55,200,109,11:46,northwest,m
Robby Boutwell,33,390,159,351,80,206,42,151,78,199,31,10:37,northwest,m
Jeff Nelson,34,395,119,354,92,203,66,148,53,200,65,11:15,northwest,m
Aaron Carlson,35,405,6,399,11,272,85,147,296,190,7,09:27,northwest,m
Brian Krupke,36,418,93,357,84,204,131,144,73,199,37,10:44,northwest,m
Dan Sagers,37,424,15,391,25,259,369,138,11,225,4,09:07,northwest,m
Joshua Rempel,37,424,20,390,92,203,38,151,124,196,150,12:07,northwest,m
Billy Pappas,37,424,20,390,173,194,45,150,43,204,143,12:03,northwest,m
Mackenzie Curran,40,430,93,357,61,238,22,153,207,193,47,10:58,northwest,m
Stephen Hitt,41,434,42,379,141,197,40,151,83,198,128,11:52,northwest,m
Jesse Disch,42,440,93,357,36,255,146,144,51,201,114,11:48,northwest,m
Nicholas Rocco,43,442,13,394,92,203,17,155,142,195,178,12:19,northwest,m
Jered Souder,44,446,12,395,260,184,24,153,81,198,69,11:17,northwest,m
Cody Anderson,45,450,185,349,3,323,221,141,10,226,31,10:37,northwest,m
Eric Matson,45,450,55,367,118,200,80,147,95,197,102,11:42,northwest,m
Josh Bailey,47,453,64,360,36,255,55,149,277,191,21,10:04,northwest,m
Andrew Gray,48,455,36,383,4,321,289,139,71,199,55,11:07,northwest,m
Daniel Spray,49,459,93,357,40,253,221,141,36,206,69,11:17,northwest,m
Mitch Wagner,49,459,129,353,84,204,56,149,149,195,41,10:49,northwest,m
Mark Buskas,51,462,185,349,55,242,66,148,126,196,30,10:36,northwest,m
Chad-Robert Judy,52,465,77,359,222,188,18,154,34,206,114,11:48,northwest,m
Mack Unruh,53,468,64,360,42,251,244,140,70,199,48,11:01,northwest,m
Nathan Loren,54,473,84,358,53,243,32,152,168,194,136,11:58,northwest,m
Robert Sax,55,491,119,354,92,203,155,143,97,197,28,10:33,northwest,m
Doug Hildreth,56,495,93,357,161,195,37,151,71,199,133,11:54,northwest,m
Joey Sanchez,57,502,15,391,36,255,275,140,174,194,2,08:56,northwest,m
Gabriel LeMay,58,509,15,391,309,176,33,151,61,200,91,11:34,northwest,m
Tyler Bolton,59,510,84,358,109,201,167,143,59,200,91,11:34,northwest,m
James Munk,60,533,129,353,92,203,159,143,104,197,49,11:02,northwest,m
Roy Gamboa,1,13,2,420,2,278,7,159,1,239,1,09:40,southcentral,m
Jason Hoggan,2,92,19,394,5,274,1,175,19,219,48,10:41,southcentral,m
Braden Torrez,3,106,16,395,3,276,42,152,26,216,19,10:19,southcentral,m
Cameron Willson,4,120,16,395,11,268,21,155,58,207,14,10:03,southcentral,m
Stephano Tsaganis,5,132,33,391,15,266,57,151,24,217,3,09:44,southcentral,m
Dex Hopkins,6,139,5,401,90,240,9,158,20,219,15,10:04,southcentral,m
Bryan Diaz,7,146,13,397,36,257,17,156,49,209,31,10:30,southcentral,m
Dusty Flores,8,168,75,367,1,341,81,149,5,231,6,09:49,southcentral,m
Will Schaub,9,180,19,394,43,255,39,153,8,230,71,10:55,southcentral,m
Cody Spell,10,181,88,360,13,267,35,153,3,232,42,10:39,southcentral,m
Mark Stewart,11,187,22,393,15,266,36,153,48,209,66,10:52,southcentral,m
Mike McGoldrick,12,190,28,392,43,255,32,154,2,235,85,11:04,southcentral,m
Jeff Germond,13,192,43,385,8,271,14,157,56,207,71,10:55,southcentral,m
Chase Ingraham,14,212,9,398,33,258,152,145,9,230,9,09:51,southcentral,m
Ryan Bielefeldt,15,218,28,392,60,248,30,154,33,214,67,10:53,southcentral,m
Caleb Christian,16,220,3,405,22,263,90,149,103,199,2,09:41,southcentral,m
Travis Williams,17,247,36,390,15,266,49,152,83,200,64,10:50,southcentral,m
Richard Bohlken,18,255,19,394,94,239,65,150,27,216,50,10:43,southcentral,m
Jordan Cook,19,263,22,393,11,268,128,147,95,199,7,09:50,southcentral,m
Sean Mata,20,270,36,390,24,262,136,146,7,230,67,10:53,southcentral,m
Paul Smith,21,296,1,423,72,246,2,166,82,200,139,11:32,southcentral,m
Luke Mullen,22,303,119,358,9,270,123,147,23,217,29,10:28,southcentral,m
Josh Littauer,23,344,209,350,15,266,78,149,38,213,4,09:45,southcentral,m
Nathan Southard,24,349,4,402,127,206,76,150,91,199,51,10:44,southcentral,m
Phillip Guillot,25,353,119,358,27,261,97,148,84,200,26,10:26,southcentral,m
Joseph Guesnier,26,356,28,392,15,266,172,145,31,216,110,11:16,southcentral,m
Jared Astle,27,363,66,372,72,246,3,166,6,230,216,12:05,southcentral,m
Marco Coppola,28,374,36,390,180,201,4,164,143,197,11,09:58,southcentral,m
Hunter Owen,28,374,33,391,77,244,97,148,42,212,125,11:27,southcentral,m
Antonio Reyes,30,382,16,395,21,264,217,143,111,198,17,10:08,southcentral,m
Carson Thomas,31,389,22,393,24,262,161,145,85,200,97,11:09,southcentral,m
Taylor Domengeaux,32,409,36,390,24,262,187,144,150,197,12,09:59,southcentral,m
Jeffrey Prejean,33,422,46,383,205,199,72,150,29,216,70,10:54,southcentral,m
Brett Blair,34,427,33,391,106,236,208,144,40,213,40,10:38,southcentral,m
kyle flowers,35,444,61,376,109,235,100,148,77,201,97,11:09,southcentral,m
Ryan Bender,36,461,64,375,77,244,239,143,47,209,34,10:34,southcentral,m
Adam Bernard,37,467,88,360,76,245,43,152,10,225,250,12:15,southcentral,m
Ryan Franza,37,467,70,369,56,250,210,144,76,202,55,10:45,southcentral,m
Sam Jett,39,469,138,355,90,240,137,146,13,224,91,11:06,southcentral,m
Zeph Littleton,40,477,163,353,43,255,25,155,66,204,180,11:50,southcentral,m
Jeremy Calahan,41,485,105,359,77,244,51,152,169,196,83,11:03,southcentral,m
Alex Baronich,42,488,252,347,143,204,5,161,78,201,10,09:55,southcentral,m
Ryan Alec Chavez,42,488,28,392,143,204,61,150,211,195,45,10:40,southcentral,m
Donovan Ruiz,44,490,36,390,77,244,146,146,134,197,97,11:09,southcentral,m
Jesse Haines,44,490,50,380,43,255,56,151,166,196,175,11:49,southcentral,m
ervin martinez,46,496,239,348,29,260,163,145,45,210,20,10:21,southcentral,m
Kirk Victorian,46,496,88,360,39,256,68,150,60,206,241,12:13,southcentral,m
Seth Hayden,48,499,13,397,314,192,47,152,87,199,38,10:37,southcentral,m
Lance Yancy,49,510,88,360,53,252,201,144,4,231,164,11:44,southcentral,m
Dave Schwanke,50,514,252,347,32,259,69,150,106,199,55,10:45,southcentral,m
Aaron Bielefeldt,51,515,138,355,132,205,37,153,71,202,137,11:31,southcentral,m
Justin Wofford,52,524,80,364,143,204,26,154,215,195,60,10:47,southcentral,m
Christian Ruiz,53,529,8,399,132,205,86,149,67,204,236,12:12,southcentral,m
Drew Bignall,54,538,49,381,48,254,91,149,105,199,245,12:14,southcentral,m
Jonathan Bonfiglio,55,544,151,354,49,253,88,149,51,209,205,11:59,southcentral,m
Justin Murphy,56,550,105,359,22,263,131,147,255,194,37,10:36,southcentral,m
Dennis Sukholutsky,57,571,175,352,60,248,87,149,108,198,141,11:33,southcentral,m
Ryan Berning,58,577,105,359,124,207,63,150,197,195,88,11:05,southcentral,m
Jason Armendariz,59,598,83,362,267,195,45,152,173,196,30,10:29,southcentral,m
John-Austin Emmons,60,612,87,361,97,238,15,156,101,199,312,12:36,southcentral,m
Julian Serna,1,44,17,396,7,310,7,161,5,244,8,09:22,southeast,m
Noah Ohlsen,2,50,43,386,2,353,2,175,2,256,1,08:45,southeast,m
Travis Mayer,3,53,26,393,3,328,3,175,1,258,20,09:57,southeast,m
Drew Shamblin,4,62,1,450,11,279,21,156,4,246,25,09:58,southeast,m
Irving Hernandez,5,77,13,398,1,396,45,152,15,234,3,09:04,southeast,m
Josh Miller,6,98,5,403,11,279,44,152,36,222,2,08:58,southeast,m
Daniel Petro,7,110,10,399,21,274,25,156,20,227,34,10:13,southeast,m
Joel Dizona,8,135,73,370,30,267,9,160,3,252,20,09:57,southeast,m
Dominick Maurici,9,145,6,401,40,263,36,153,58,215,5,09:16,southeast,m
Shawn Ramirez,10,149,40,388,18,275,31,155,53,216,7,09:19,southeast,m
Jeff Evans,11,155,6,401,36,264,75,150,6,243,32,10:09,southeast,m
Hudson Fricke,12,169,10,399,10,304,120,148,12,238,17,09:55,southeast,m
Ryan Sunshine,13,173,20,395,24,271,73,150,9,238,47,10:27,southeast,m
Guido Trinidad,14,174,65,373,22,273,58,151,10,238,19,09:56,southeast,m
Brannen Dorman,15,198,47,383,36,264,92,150,17,231,6,09:18,southeast,m
Elijah Muhammad,16,209,17,396,51,258,27,155,57,216,57,10:35,southeast,m
Brian Rottman,17,251,20,395,99,244,65,151,24,224,43,10:25,southeast,m
Brandon Phillips,18,263,61,375,40,263,61,151,51,217,50,10:29,southeast,m
Brandon Massie,19,268,4,404,11,279,144,147,55,216,54,10:33,southeast,m
Kirk Gibson,20,274,6,401,54,257,22,156,18,230,174,11:33,southeast,m
Landon Brazell,21,285,79,368,40,263,4,167,14,236,148,11:24,southeast,m
Adam Vinson,22,287,42,387,90,246,69,151,33,222,53,10:31,southeast,m
Nicholas Longo,23,290,30,392,44,262,53,152,7,240,156,11:26,southeast,m
Sherman Merricks,24,294,2,411,99,244,6,163,46,217,141,11:21,southeast,m
Aaron Hanna,25,299,151,356,93,245,16,157,25,224,14,09:51,southeast,m
Benjamin Williams,26,308,90,360,15,278,83,150,44,218,76,10:47,southeast,m
Chase Daniels,27,310,23,394,40,263,186,146,41,219,20,09:57,southeast,m
Tommy Caputo,28,326,90,360,4,321,102,149,60,215,70,10:43,southeast,m
Steve Walters,29,338,217,352,36,264,23,156,49,217,13,09:50,southeast,m
Chris Muscarella,30,341,23,394,90,246,29,155,153,198,46,10:26,southeast,m
Cameron Currie,31,349,33,391,201,202,5,164,94,206,16,09:52,southeast,m
Matt Kolozsvary,32,359,13,398,51,258,79,150,47,217,169,11:31,southeast,m
Marquan Jones,33,367,26,393,5,319,196,145,23,226,117,11:11,southeast,m
Dylan Malitsky,34,376,217,352,36,264,60,151,21,227,42,10:22,southeast,m
Jimmy St Louis,35,377,71,371,189,203,15,158,8,239,94,10:59,southeast,m
Bradley Pritchard,36,381,23,394,6,317,180,146,134,199,38,10:16,southeast,m
Marty Rotan,37,399,47,383,99,244,19,157,146,199,88,10:56,southeast,m
Paul Villarreal,38,403,83,364,177,204,70,151,39,220,34,10:13,southeast,m
Steve Mullen,39,414,54,378,63,254,95,149,66,214,136,11:20,southeast,m
Brandon Bergin,40,418,58,377,124,238,52,152,92,207,92,10:58,southeast,m
Chris Patterson,41,431,121,359,93,245,134,147,29,223,54,10:33,southeast,m
Stuart Bready,42,453,90,360,26,270,187,146,120,200,30,10:06,southeast,m
Josh davis,43,467,90,360,73,251,74,150,152,198,78,10:49,southeast,m
Nick Penizotto,44,474,90,360,11,279,182,146,35,222,156,11:26,southeast,m
Brian Prochaska,45,484,50,380,99,244,126,148,79,209,130,11:18,southeast,m
Nick Schuyler,46,491,130,358,93,245,13,159,212,196,43,10:25,southeast,m
Jason O'Bannon,47,498,10,399,107,243,353,142,11,238,17,09:55,southeast,m
Quinn Otte,48,506,90,360,124,238,122,148,90,207,80,10:51,southeast,m
Cory Dill,49,507,47,383,275,197,49,152,48,217,88,10:56,southeast,m
West Cornwell,50,512,121,359,54,257,101,149,165,198,71,10:44,southeast,m
Jason Ingham,51,532,43,386,236,200,130,148,16,233,107,11:06,southeast,m
John Kirn,52,559,30,392,154,206,98,149,226,196,51,10:30,southeast,m
Gerry Raymond,53,578,65,373,58,256,154,147,216,196,85,10:54,southeast,m
Jacob Anderson,54,600,291,348,26,270,221,145,37,221,25,09:58,southeast,m
Brian Harris,55,601,291,348,22,273,203,145,13,236,72,10:45,southeast,m
Nick Plagenhoef,56,604,13,398,327,194,8,160,154,198,102,11:02,southeast,m
Corey Pruneski,57,611,65,373,140,230,136,147,63,215,207,11:43,southeast,m
Austin Medford,58,620,367,345,44,262,96,149,25,224,88,10:56,southeast,m
Travis Holmquist,59,641,137,357,48,261,206,145,81,209,169,11:31,southeast,m
Josh Ingham,60,657,90,360,236,200,103,149,75,211,153,11:25,southeast,m
Dan Bailey,1,14,1,461,6,326,1,175,1,252,5,09:18,southerncalifor,m
Ryan Fischer,2,49,16,396,13,278,5,164,13,232,2,08:45,southerncalifor,m
Rasmus Wisbech Andersen,3,50,9,400,3,338,20,155,6,244,12,09:49,southerncalifor,m
Josh Golden,4,55,3,413,15,277,10,158,18,229,9,09:42,southerncalifor,m
Jon Pera,5,58,7,405,9,320,8,160,8,239,26,10:04,southerncalifor,m
Jeremy Kinnick,6,80,13,397,2,346,30,154,16,231,19,09:59,southerncalifor,m
Ronnie Teasdale,7,98,5,406,44,260,18,156,9,237,22,10:01,southerncalifor,m
Josh Bridges,8,100,2,438,1,356,91,148,5,244,1,07:49,southerncalifor,m
Henry Lopez,9,117,84,360,7,322,22,155,2,250,2,08:45,southerncalifor,m
Chad Melton,10,122,34,391,28,269,27,154,11,234,22,10:01,southerncalifor,m
Nuno Costa,11,128,13,397,9,320,44,152,44,218,18,09:58,southerncalifor,m
Tommy Pease,12,137,54,377,3,338,21,155,24,225,35,10:16,southerncalifor,m
Jesse Baz,13,144,10,399,8,321,87,148,22,227,17,09:56,southerncalifor,m
Nathan Lauritzen,14,168,17,395,30,267,41,152,69,208,11,09:47,southerncalifor,m
Mike Cahill,15,188,22,394,36,262,48,152,38,220,44,10:27,southerncalifor,m
julian alcaraz,16,192,44,387,114,236,7,160,19,228,8,09:39,southerncalifor,m
Teddy Hwang,17,206,28,393,67,252,47,152,48,215,16,09:54,southerncalifor,m
Dane mclaughlin,18,215,22,394,82,245,16,156,32,222,63,10:49,southerncalifor,m
Brett Panceroff,19,218,74,364,22,273,11,158,21,228,90,11:10,southerncalifor,m
Bill Grundler,20,225,37,390,24,272,38,153,80,204,46,10:31,southerncalifor,m
Jarett Perelmutter,21,239,31,392,30,267,142,145,14,231,22,10:01,southerncalifor,m
Bryan Miller,22,259,8,401,22,273,75,149,7,241,147,11:35,southerncalifor,m
Paul Gregrow,23,264,62,374,42,261,12,157,12,233,136,11:30,southerncalifor,m
Matt Lodin,24,265,41,389,13,278,119,146,45,218,47,10:32,southerncalifor,m
Paul Castaneda,25,270,31,392,20,274,36,153,43,219,140,11:32,southerncalifor,m
Santino Marini,26,292,80,361,36,262,25,154,26,225,125,11:26,southerncalifor,m
Gregory Mountain,27,299,22,394,100,241,109,147,35,221,33,10:11,southerncalifor,m
Wayne Willette,28,301,74,364,80,246,17,156,37,221,93,11:11,southerncalifor,m
Dustin Virgil,29,318,34,391,74,249,43,152,83,201,84,11:04,southerncalifor,m
Roy Voss,30,323,84,360,27,271,84,148,33,222,95,11:13,southerncalifor,m
Kenneth Leverich,31,330,10,399,9,320,297,140,4,248,10,09:43,southerncalifor,m
Justin Van Dyke,32,332,48,384,100,241,117,146,28,225,39,10:20,southerncalifor,m
Kendall Bolt,33,343,37,390,44,260,90,148,104,199,68,10:52,southerncalifor,m
Nick Robles,34,346,51,381,24,272,142,145,59,210,70,10:54,southerncalifor,m
Matt Grimm,35,347,22,394,164,202,49,152,30,223,82,11:03,southerncalifor,m
Taylor Yaffee,36,360,84,360,17,276,197,143,20,228,42,10:25,southerncalifor,m
Tory Morgan,37,369,137,356,49,259,78,149,54,212,51,10:39,southerncalifor,m
philip craig,38,376,80,361,82,245,15,156,95,200,104,11:19,southerncalifor,m
Aaron Kleefisch,39,387,44,387,232,196,57,151,42,219,12,09:49,southerncalifor,m
Paul Austad,40,396,34,391,85,244,31,153,143,198,103,11:18,southerncalifor,m
Basile Beaty,41,403,17,395,70,251,259,141,17,230,40,10:22,southerncalifor,m
Michael Hernandez,42,416,119,358,18,275,123,146,34,221,122,11:25,southerncalifor,m
Reid Worthington,43,423,13,397,164,202,111,147,58,210,77,10:57,southerncalifor,m
Sergio Perez,44,424,37,390,36,262,227,142,99,199,25,10:03,southerncalifor,m
Zach Baker,45,425,68,367,85,244,158,144,71,207,43,10:26,southerncalifor,m
andrew Kong,46,437,84,360,58,256,230,142,53,213,12,09:49,southerncalifor,m
Jared San Nicolas,47,441,80,361,49,259,54,151,163,197,95,11:13,southerncalifor,m
Nicholas Placone,48,443,199,351,55,257,118,146,23,227,48,10:34,southerncalifor,m
Chris Brown,49,468,49,382,130,206,151,145,52,213,86,11:05,southerncalifor,m
Adam Peterson,50,470,84,360,100,241,79,149,69,208,138,11:31,southerncalifor,m
Erik Fay,51,477,114,359,35,264,83,148,109,199,136,11:30,southerncalifor,m
Mike Ferraro,52,479,46,385,181,201,63,150,15,231,174,11:51,southerncalifor,m
Aaron Harrell,53,482,5,406,267,193,28,154,50,215,132,11:29,southerncalifor,m
Jacob Heighes,54,486,52,379,104,240,40,152,68,208,222,12:13,southerncalifor,m
Travis Fishburn,55,495,37,390,218,197,91,148,122,198,27,10:05,southerncalifor,m
Mitchel Galusha,56,497,146,355,55,257,170,144,89,200,37,10:17,southerncalifor,m
James Silverman,57,507,146,355,112,237,179,143,10,236,60,10:46,southerncalifor,m
Bryce Smith,58,521,58,375,201,199,23,155,128,198,111,11:21,southerncalifor,m
Blake Whitcomb,59,524,58,375,85,244,151,145,167,197,63,10:49,southerncalifor,m
David Zastrow,60,541,114,359,146,204,221,142,39,219,21,10:00,southerncalifor,m
Tommy Hackenbruck,1,19,5,402,6,276,3,175,3,237,2,09:42,southwest,m
Brennan Fjord,2,26,2,435,5,278,9,158,1,241,9,10:03,southwest,m
Adrian Conway,3,40,3,430,13,268,2,175,7,225,15,10:20,southwest,m
Peter Egyed,4,55,4,404,36,249,1,180,4,234,10,10:08,southwest,m
Chris Hoppe,5,118,53,365,24,257,23,153,10,224,8,10:01,southwest,m
Shaun Hazelton,6,121,24,390,10,270,12,156,2,240,73,11:27,southwest,m
Chris Spealler,7,131,31,385,1,326,78,148,11,223,10,10:08,southwest,m
Kyle Boyer,8,155,15,393,50,238,5,164,45,200,40,11:07,southwest,m
Lance Castle,9,177,10,396,7,272,74,148,13,222,73,11:27,southwest,m
Danny Nichols,10,182,8,400,91,203,19,154,32,206,32,10:56,southwest,m
Spencer Marx,10,182,15,393,25,256,54,149,76,198,12,10:11,southwest,m
Christian Lucero,12,218,28,388,65,206,82,148,5,231,38,11:06,southwest,m
Jon Lipp,13,221,21,391,43,244,63,148,18,215,76,11:28,southwest,m
Patrick Burke,14,231,53,365,10,270,77,148,23,211,68,11:21,southwest,m
Jacob Hutton,15,250,1,436,9,271,14,156,55,199,171,12:20,southwest,m
Matt OSteen,16,252,90,357,41,245,89,147,9,224,23,10:39,southwest,m
Chad Cole,17,257,61,360,22,259,66,148,8,225,100,11:41,southwest,m
Nathan Goldhardt,18,278,61,360,39,247,68,148,40,202,70,11:24,southwest,m
william wood,19,280,61,360,65,206,7,160,31,207,116,11:50,southwest,m
Dan Finck,20,294,10,396,15,267,95,147,116,196,58,11:16,southwest,m
Wp Dermody,21,305,27,389,43,244,21,153,91,197,123,11:54,southwest,m
Jake Holmberg,22,308,6,401,160,197,24,152,49,200,69,11:23,southwest,m
Dj Brimhall,22,308,6,401,29,254,50,150,182,194,41,11:08,southwest,m
Jared Glover,24,312,56,364,2,324,147,144,106,197,1,09:40,southwest,m
Blake Bastian,25,318,90,357,26,255,153,144,17,215,32,10:56,southwest,m
Justin Fallon,26,340,24,390,103,202,35,151,114,196,64,11:19,southwest,m
Brandon Mericle,27,342,116,355,16,266,18,154,186,194,6,09:58,southwest,m
Christopher Gartrell,28,343,90,357,65,206,137,145,38,202,13,10:16,southwest,m
Eric Hockridge,29,346,79,358,30,253,205,142,15,220,17,10:22,southwest,m
Brian Kunitzer,30,358,31,385,71,205,134,145,99,197,23,10:39,southwest,m
Brian Maier,31,360,53,365,145,198,48,150,35,204,79,11:30,southwest,m
Derek Kneadler,32,365,79,358,31,251,104,146,105,197,46,11:10,southwest,m
Moses Cordova,33,367,14,394,191,194,22,153,21,212,119,11:51,southwest,m
Matt Clark,34,374,36,381,21,260,38,151,16,220,263,12:53,southwest,m
Bryan Holland,35,377,104,356,77,204,110,146,24,210,62,11:17,southwest,m
Zachary Forrest,36,393,236,346,17,262,69,148,53,200,18,10:28,southwest,m
Nathaniel Olsen,37,404,79,358,26,255,114,146,6,230,179,12:23,southwest,m
Matt Hathcock,38,406,379,327,4,301,8,158,12,223,3,09:48,southwest,m
Chase Duke,39,421,40,378,145,198,174,143,35,204,27,10:51,southwest,m
Brent Maier,39,421,34,383,128,200,96,147,69,198,94,11:38,southwest,m
Andy Gunther,41,423,15,393,39,247,52,149,251,192,66,11:20,southwest,m
Jon Moffitt,42,438,57,361,91,203,132,145,65,198,93,11:37,southwest,m
travis zipper,43,464,129,354,17,262,91,147,56,199,171,12:20,southwest,m
